name,state,Full Address,Country,lat,lng,providesPrep,providesPep,freeSTIscreening,googlePlaceId,phone,email
Klinik Kesihatan Temerloh (MyPrEPGov2023),Pahang,Jalan Triang 28000 Temerloh Pahang,Malaysia,3.4456166,102.4240193,TRUE,FALSE,TRUE,ChIJYU71U5C4zjERq9reLl0hDLM,+609-296 1275,
Klinik & Surgeri Medi-Sihat,Selangor,"Lot 3&4 (Ground Floor) Jalan Besar, Ulu Yam Bharu 44300 Ulu Yam Bharu Selangor",Malaysia,3.432032,101.6583424,TRUE,TRUE,FALSE,ChIJS7ohALNtzDERedbQLvY4xCY,+017-573 7303,medisihatmy@gmail.com
O2 Klinik Ipoh Garden,Perak,Lot 13 Jalan Niaga Simee 1 Pusat Perniagaan Simee 31400 Ipoh Perak,Malaysia,4.6182503,101.116302,TRUE,TRUE,FALSE,ChIJ1br5UVDtyjERIofV8jJDVI4,+6016-937 3345,o2klinikipohgarden@gmail.com
Klinik Shatin,Perak,"79, Jalan Pengkalan Barat, Off Jalan New Pasir Puteh, 31650 Ipoh Perak",Malaysia,4.5562987,101.0752284,TRUE,TRUE,TRUE,ChIJdbqvSaruyjERu5m_-wAbOmo,+605-321 6922,klinikshatin@gmail.com
People's Klinik,Perak,"19, Jalan Yang Kalsom 30250 Ipoh, Malaysia Perak",Malaysia,4.5916187,101.0841657,TRUE,TRUE,FALSE,ChIJFWhCHmXsyjERqwWD266FGb4,+605-255 2906,phangch48@hotmail.com
Klinik Kesihatan Greentown (MyPrEPGov2023),Perak,Jalan Raja Musa Aziz 30450 Ipoh Perak,Malaysia,4.60281,101.08713,TRUE,FALSE,TRUE,ChIJy1R1bInsyjERuj57eXYfvpw,+605-253 0801,
KLINIK SINAR CERIA CAWANGAN SELAYANG,Selangor,"17A, Jalan Besar Selayang Baru Selayang Baru 68100 Batu Caves Selangor",Malaysia,3.2454615,101.6696208,TRUE,FALSE,TRUE,ChIJGaBDcPRHzDERRhqL-U7FbLQ,+603-6128 0611,ksc.selayang@gmail.com
Klinik Dr.Prevents 24 JAM,W.P. Kuala Lumpur,A-2-8 Viva Jalan Ipoh 51200 Kuala Lumpur W.P. Kuala Lumpur,Malaysia,3.1779518,101.6859541,TRUE,TRUE,FALSE,ChIJgdJ-8_BJzDERYafftgoOeg0,,klinikdrpreventsji@gmail.com
Klinik Afya,W.P. Kuala Lumpur,"303, Lorong Selangor Taman Melawati 53100 Kuala Lumpur W.P. Kuala Lumpur",Malaysia,3.2103646,101.7475864,TRUE,TRUE,FALSE,ChIJ_3s3pCs5zDERUDJYHhuQqZ0,+6011 28129399,klinikafyamelawati@gmail.com
U.n.i Klinik Permata,W.P. Kuala Lumpur,"UNIklinik Taman Permata No.3, Persiaran Permata, 53300 Ampang Jaya W.P. Kuala Lumpur",Malaysia,3.206214,101.7519823,TRUE,TRUE,FALSE,ChIJ1YUPvK45zDERN97J4Q4oRBA,+603-4161 3330,unikliniktmnpermata@gmail.com
Klinik Low,W.P. Kuala Lumpur,"20, Jalan 1/27b Desa Setapak 53300 Kuala Lumpur W.P. Kuala Lumpur",Malaysia,3.2063358,101.7340972,TRUE,FALSE,FALSE,ChIJ_cLqvz44zDERehO2Z2NaDyk,+603-4149 7801,kliniklow601@gmail.com
