source,externalId,name,address,address2,city,state,zip,country,lat,lng,phone,fax,email,url,providesPrep,providesPep,allowingWalkIns,needReferralLetter,dispensePrepOnsite,hoursHtml
mypreplocator,1124,Klinik Kesihatan Temerloh (MyPrEPGov2023),Jalan Triang,,Temerloh,Pahang,28000,Malaysia,3.437832,102.460987,+609-296 1275,,,,true,false,Walk-in,true,Onsite,"<table role=""presentation"" class=""wpsl-opening-hours""><tr><td>Monday</td><td>Closed</td></tr><tr><td>Tuesday</td><td><time>2:30 PM - 4:30 PM</time></td></tr><tr><td>Wednesday</td><td>Closed</td></tr><tr><td>Thursday</td><td><time>2:30 PM - 4:30 PM</time></td></tr><tr><td>Friday</td><td>Closed</td></tr><tr><td>Saturday</td><td>Closed</td></tr><tr><td>Sunday</td><td>Closed</td></tr></table>"
mypreplocator,1137,Klinik &#038; Surgeri Medi-Sihat,"Lot 3&4 (Ground Floor) Jalan Besar, Ulu Yam Bharu",,Ulu Yam Bharu,Selangor,44300,Malaysia,3.367476,101.605544,+017-573 7303,,medisihatmy@gmail.com,https://www.facebook.com/profile.php?id=100076269458555,true,true,Walk-in,false,Onsite,"<table role=""presentation"" class=""wpsl-opening-hours""><tr><td>Monday</td><td><time>9:00 AM - 10:00 PM</time></td></tr><tr><td>Tuesday</td><td><time>9:00 AM - 10:00 PM</time></td></tr><tr><td>Wednesday</td><td><time>9:00 AM - 10:00 PM</time></td></tr><tr><td>Thursday</td><td><time>9:00 AM - 10:00 PM</time></td></tr><tr><td>Friday</td><td><time>9:00 AM - 10:00 PM</time></td></tr><tr><td>Saturday</td><td><time>10:00 AM - 7:00 PM</time></td></tr><tr><td>Sunday</td><td><time>10:00 AM - 7:00 PM</time></td></tr></table>"
mypreplocator,1304,O2 Klinik Ipoh Garden,Lot 13 Jalan Niaga Simee 1,Pusat Perniagaan Simee,Ipoh,Perak,31400,Malaysia,4.618418,101.116305,+6016-937 3345,,o2klinikipohgarden@gmail.com,http://www.o2klinik.com,true,true,Walk-in,true,Onsite,"<table role=""presentation"" class=""wpsl-opening-hours""><tr><td>Monday</td><td><time>8:00 AM - 10:00 PM</time></td></tr><tr><td>Tuesday</td><td><time>8:00 AM - 10:00 PM</time></td></tr><tr><td>Wednesday</td><td><time>8:00 AM - 10:00 PM</time></td></tr><tr><td>Thursday</td><td><time>8:00 AM - 10:00 PM</time></td></tr><tr><td>Friday</td><td><time>8:00 AM - 10:00 PM</time></td></tr><tr><td>Saturday</td><td><time>8:00 AM - 10:00 PM</time></td></tr><tr><td>Sunday</td><td><time>8:00 AM - 10:00 PM</time></td></tr></table>"
mypreplocator,1023,Klinik Shatin,"79, Jalan Pengkalan Barat,","Off Jalan New Pasir Puteh,",Ipoh,Perak,31650,Malaysia,4.5563,101.07522,+605-321 6922 / +6011-1183 7922,,klinikshatin@gmail.com,https://www.klinikshatin.com/,true,true,Walk-in,false,Onsite,"<table role=""presentation"" class=""wpsl-opening-hours""><tr><td>Monday</td><td><time>9:00 AM - 8:00 PM</time></td></tr><tr><td>Tuesday</td><td><time>9:00 AM - 8:00 PM</time></td></tr><tr><td>Wednesday</td><td><time>9:00 AM - 8:00 PM</time></td></tr><tr><td>Thursday</td><td><time>9:00 AM - 8:00 PM</time></td></tr><tr><td>Friday</td><td><time>9:00 AM - 8:00 PM</time></td></tr><tr><td>Saturday</td><td><time>9:00 AM - 8:00 PM</time></td></tr><tr><td>Sunday</td><td>Closed</td></tr></table>"
mypreplocator,346,People&#8217;s Klinik,"19, Jalan Yang Kalsom",,"Ipoh, Malaysia",Perak,30250,Malaysia,4.591712,101.084258,+605-255 2906,,phangch48@hotmail.com,,true,true,Appointment needed,true,Onsite,"<table role=""presentation"" class=""wpsl-opening-hours""><tr><td>Monday</td><td><time>9:00 AM - 12:30 PM</time><time>2:00 PM - 5:00 PM</time></td></tr><tr><td>Tuesday</td><td><time>9:00 AM - 12:30 PM</time><time>2:00 PM - 5:00 PM</time></td></tr><tr><td>Wednesday</td><td><time>9:00 AM - 12:30 PM</time><time>2:00 PM - 5:00 PM</time></td></tr><tr><td>Thursday</td><td><time>9:00 AM - 12:30 PM</time><time>2:00 PM - 5:00 PM</time></td></tr><tr><td>Friday</td><td><time>9:00 AM - 12:30 PM</time><time>2:00 PM - 5:00 PM</time></td></tr><tr><td>Saturday</td><td><time>9:00 AM - 12:30 PM</time><time>2:00 PM - 5:00 PM</time></td></tr><tr><td>Sunday</td><td>Closed</td></tr></table>"
mypreplocator,1100,Klinik Kesihatan Greentown (MyPrEPGov2023),Jalan Raja Musa Aziz,,Ipoh,Perak,30450,മലേഷ്യ,4.602814,101.087131,+605-253 0801,,,,true,false,Walk-in,true,Onsite,"<table role=""presentation"" class=""wpsl-opening-hours""><tr><td>Monday</td><td><time>2:00 PM - 4:30 PM</time></td></tr><tr><td>Tuesday</td><td><time>8:00 AM - 5:00 PM</time></td></tr><tr><td>Wednesday</td><td>Closed</td></tr><tr><td>Thursday</td><td>Closed</td></tr><tr><td>Friday</td><td><time>8:00 AM - 11:30 AM</time></td></tr><tr><td>Saturday</td><td>Closed</td></tr><tr><td>Sunday</td><td>Closed</td></tr></table>"
mypreplocator,1655,KLINIK SINAR CERIA CAWANGAN SELAYANG,"17A, Jalan Besar Selayang Baru",Selayang Baru,Batu Caves,Selangor,68100,മലേഷ്യ,3.245467,101.669617,+603-6128 0611,,ksc.selayang@gmail.com,https://kliniksinarceria.com/,true,false,Walk-in,false,Onsite,"<table role=""presentation"" class=""wpsl-opening-hours""><tr><td>Monday</td><td><time>8:00 AM - 10:00 PM</time></td></tr><tr><td>Tuesday</td><td><time>8:00 AM - 10:00 PM</time></td></tr><tr><td>Wednesday</td><td><time>8:00 AM - 10:00 PM</time></td></tr><tr><td>Thursday</td><td><time>8:00 AM - 10:00 PM</time></td></tr><tr><td>Friday</td><td><time>8:00 AM - 10:00 PM</time></td></tr><tr><td>Saturday</td><td><time>9:00 AM - 9:00 PM</time></td></tr><tr><td>Sunday</td><td><time>9:00 AM - 9:00 PM</time></td></tr></table>"
mypreplocator,1295,Klinik Dr.Prevents 24 JAM,A-2-8 Viva,Jalan Ipoh,Kuala Lumpur,Kuala Lumpur (Federal Territory),51200,Malaysia,3.214851,101.747329,,,klinikdrpreventsji@gmail.com,http://www.drprevents.com,true,true,Walk-in,false,Onsite,"<table role=""presentation"" class=""wpsl-opening-hours""><tr><td>Monday</td><td><time>9:00 AM - 9:00 AM</time></td></tr><tr><td>Tuesday</td><td><time>9:00 AM - 9:00 AM</time></td></tr><tr><td>Wednesday</td><td><time>9:00 AM - 9:00 AM</time></td></tr><tr><td>Thursday</td><td><time>9:00 AM - 9:00 AM</time></td></tr><tr><td>Friday</td><td><time>9:00 AM - 9:00 AM</time></td></tr><tr><td>Saturday</td><td><time>9:00 AM - 9:00 AM</time></td></tr><tr><td>Sunday</td><td><time>9:00 AM - 9:00 AM</time></td></tr></table>"
mypreplocator,1511,Klinik Afya,"303, Lorong Selangor",Taman Melawati,Kuala Lumpur,Kuala Lumpur (Federal Territory),53100,മലേഷ്യ,3.210365,101.747586,+6011 28129399,,klinikafyamelawati@gmail.com,,true,true,Appointment needed,false,Onsite,"<table role=""presentation"" class=""wpsl-opening-hours""><tr><td>Monday</td><td><time>09:00 - 22:00</time></td></tr><tr><td>Tuesday</td><td><time>09:00 - 22:00</time></td></tr><tr><td>Wednesday</td><td><time>09:00 - 22:00</time></td></tr><tr><td>Thursday</td><td><time>09:00 - 22:00</time></td></tr><tr><td>Friday</td><td><time>09:00 - 22:00</time></td></tr><tr><td>Saturday</td><td><time>09:00 - 22:00</time></td></tr><tr><td>Sunday</td><td><time>09:00 - 22:00</time></td></tr></table>"
mypreplocator,854,U.n.i Klinik Permata,UNIklinik Taman Permata,"No.3, Persiaran Permata,",Ampang Jaya,Kuala Lumpur (Federal Territory),53300,Malaysia,3.206214,101.751982,+603-4161 3330,,unikliniktmnpermata@gmail.com,https://www.facebook.com/uniklinikpermata/,true,true,Walk-in,false,Onsite,"<table role=""presentation"" class=""wpsl-opening-hours""><tr><td>Monday</td><td><time>8:00 AM - 10:30 PM</time></td></tr><tr><td>Tuesday</td><td><time>8:00 AM - 10:30 PM</time></td></tr><tr><td>Wednesday</td><td><time>8:00 AM - 10:30 PM</time></td></tr><tr><td>Thursday</td><td><time>8:00 AM - 10:30 PM</time></td></tr><tr><td>Friday</td><td><time>8:00 AM - 10:30 PM</time></td></tr><tr><td>Saturday</td><td><time>8:00 AM - 10:30 PM</time></td></tr><tr><td>Sunday</td><td><time>8:00 AM - 10:30 PM</time></td></tr></table>"
mypreplocator,612,Klinik Low,"20, Jalan 1/27b",Desa Setapak,Kuala Lumpur,Kuala Lumpur (Federal Territory),53300,Malaysia,3.206336,101.734097,+603-4149 7801,,kliniklow601@gmail.com,http://kliniklow.com,true,false,Walk-in,false,Onsite,"<table role=""presentation"" class=""wpsl-opening-hours""><tr><td>Monday</td><td><time>8:30 AM - 12:30 PM</time></td></tr><tr><td>Tuesday</td><td><time>8:30 AM - 12:30 PM</time></td></tr><tr><td>Wednesday</td><td><time>8:30 AM - 12:30 PM</time></td></tr><tr><td>Thursday</td><td><time>8:30 AM - 12:30 PM</time></td></tr><tr><td>Friday</td><td><time>8:30 AM - 12:30 PM</time></td></tr><tr><td>Saturday</td><td><time>8:30 AM - 12:30 PM</time></td></tr><tr><td>Sunday</td><td>Closed</td></tr></table>"
mypreplocator,1349,MyGombak Clinic,"No. 60, Jalan Jernai 4,",Medan Idaman Gombak,KL,Kuala Lumpur (Federal Territory),53100,Malaysia,3.212029,101.711195,,,mygombakclinic@gmail.com,https://linktr.ee/mygombakclinic,true,true,Walk-in,false,Onsite,"<table role=""presentation"" class=""wpsl-opening-hours""><tr><td>Monday</td><td><time>8:00 AM - 10:00 PM</time></td></tr><tr><td>Tuesday</td><td><time>8:00 AM - 10:00 PM</time></td></tr><tr><td>Wednesday</td><td><time>8:00 AM - 10:00 PM</time></td></tr><tr><td>Thursday</td><td><time>8:00 AM - 10:00 PM</time></td></tr><tr><td>Friday</td><td><time>8:00 AM - 10:00 PM</time></td></tr><tr><td>Saturday</td><td><time>8:00 AM - 10:00 PM</time></td></tr><tr><td>Sunday</td><td><time>8:00 AM - 10:00 PM</time></td></tr></table>"
mypreplocator,1236,Klinik Kwan and Chong,"100G, Jalan Rimbunan Raya","Laman Rimbunan,",Kuala Lumpur,Kuala Lumpur (Federal Territory),52100,Malaysia,3.212203,101.648872,+6017-993 0023,,klinikkwanchong8kepong@gmail.com,https://www.facebook.com/klinikkwanchongkepong/,true,true,Walk-in,false,Onsite,"<table role=""presentation"" class=""wpsl-opening-hours""><tr><td>Monday</td><td><time>8:30 AM - 10:00 PM</time></td></tr><tr><td>Tuesday</td><td><time>8:30 AM - 10:00 PM</time></td></tr><tr><td>Wednesday</td><td><time>8:30 AM - 10:00 PM</time></td></tr><tr><td>Thursday</td><td><time>8:30 AM - 10:00 PM</time></td></tr><tr><td>Friday</td><td><time>8:30 AM - 10:00 PM</time></td></tr><tr><td>Saturday</td><td><time>8:30 AM - 10:00 PM</time></td></tr><tr><td>Sunday</td><td><time>8:30 AM - 10:00 PM</time></td></tr></table>"
mypreplocator,880,Community Health Care Clinic,"2, Level 1,","Jalan Haji Salleh, Sentul,",Kuala Lumpur,Kuala Lumpur (Federal Territory),51100,Malaysia,3.198344,101.686905,+603-4051 3611,,ramesh@ptfmalaysia.org,http://www.chcclinic.org,true,true,Appointment needed,false,Onsite,"<table role=""presentation"" class=""wpsl-opening-hours""><tr><td>Monday</td><td>Closed</td></tr><tr><td>Tuesday</td><td><time>2:00 PM - 7:00 PM</time></td></tr><tr><td>Wednesday</td><td><time>2:00 PM - 7:00 PM</time></td></tr><tr><td>Thursday</td><td><time>2:00 PM - 7:00 PM</time></td></tr><tr><td>Friday</td><td><time>2:00 PM - 6:00 PM</time></td></tr><tr><td>Saturday</td><td><time>10:00 AM - 5:00 PM</time></td></tr><tr><td>Sunday</td><td>Closed</td></tr></table>"
mypreplocator,672,Klinik Dr Lau,"1-17A, Jalan Desa D 1/5",Desa Aman Puri,Kepong,Selangor,52100,Malaysia,3.212179,101.616102,+6019-426 1899,,klinikdrlauamanpuri@gmail.com,,true,true,Walk-in,false,Onsite,"<table role=""presentation"" class=""wpsl-opening-hours""><tr><td>Monday</td><td><time>9:00 AM - 7:00 PM</time></td></tr><tr><td>Tuesday</td><td><time>9:00 AM - 7:00 PM</time></td></tr><tr><td>Wednesday</td><td><time>9:00 AM - 7:00 PM</time></td></tr><tr><td>Thursday</td><td><time>9:00 AM - 7:00 PM</time></td></tr><tr><td>Friday</td><td><time>9:00 AM - 7:00 PM</time></td></tr><tr><td>Saturday</td><td><time>9:00 AM - 3:00 PM</time></td></tr><tr><td>Sunday</td><td>Closed</td></tr></table>"
mypreplocator,1405,Klinik Kok Doh,"No. 38, Jalan 17/42",Taman Kok Doh,"Kuala Lumpur, Malaysia",Kuala Lumpur (Federal Territory),51200,മലേഷ്യ,3.195211,101.665067,,,klinikkokdoh@gmail.com,,true,true,Walk-in,false,Onsite,"<table role=""presentation"" class=""wpsl-opening-hours""><tr><td>Monday</td><td><time>6:00 AM - 6:00 AM</time></td></tr><tr><td>Tuesday</td><td><time>6:00 AM - 6:00 AM</time></td></tr><tr><td>Wednesday</td><td><time>6:00 AM - 6:00 AM</time></td></tr><tr><td>Thursday</td><td><time>6:00 AM - 6:00 AM</time></td></tr><tr><td>Friday</td><td><time>6:00 AM - 6:00 AM</time></td></tr><tr><td>Saturday</td><td><time>6:00 AM - 6:00 AM</time></td></tr><tr><td>Sunday</td><td><time>6:00 AM - 6:00 AM</time></td></tr></table>"
mypreplocator,50,Hospital Sungai Buloh,Infectious Disease Clinic Jalan Hospital,,Sungai Buloh,Selangor,47000,Malaysia,3.219573,101.583081,+603-6145 4333,,,,true,true,Walk-in,false,Onsite,"<table role=""presentation"" class=""wpsl-opening-hours""><tr><td>Monday</td><td><time>8:00 AM - 1:00 PM</time></td></tr><tr><td>Tuesday</td><td>Closed</td></tr><tr><td>Wednesday</td><td><time>8:00 AM - 1:00 PM</time></td></tr><tr><td>Thursday</td><td>Closed</td></tr><tr><td>Friday</td><td>Closed</td></tr><tr><td>Saturday</td><td>Closed</td></tr><tr><td>Sunday</td><td>Closed</td></tr></table>"
mypreplocator,318,Klinik Kesihatan Kuala Lumpur (MyPrEPGov2023),"Jalan Temerloh, Taman Tasik Titiwangsa",,Kuala Lumpur,Kuala Lumpur (Federal Territory),53200,മലേഷ്യ,3.17359,101.708291,+603-2618 3200,,kkkl@moh.gov.my,,true,false,Walk-in,true,Onsite,"<table role=""presentation"" class=""wpsl-opening-hours""><tr><td>Monday</td><td><time>8:00 AM - 5:00 PM</time></td></tr><tr><td>Tuesday</td><td><time>8:00 AM - 5:00 PM</time></td></tr><tr><td>Wednesday</td><td><time>8:00 AM - 5:00 PM</time></td></tr><tr><td>Thursday</td><td><time>8:00 AM - 5:00 PM</time></td></tr><tr><td>Friday</td><td><time>8:00 AM - 5:00 PM</time></td></tr><tr><td>Saturday</td><td>Closed</td></tr><tr><td>Sunday</td><td>Closed</td></tr></table>"
mypreplocator,1355,A Plus Medical Clinic (Segambut),"Lot 1-02A , 1st Floor ,Rain Tree Rain @The Era Duta North","Era Segambut, No 208 ,Jalan Segambut",Kuala Lumpur,Kuala Lumpur (Federal Territory),51200,Malaysia,3.182261,101.67502,,,aone.medclinic@gmail.com,,true,true,Walk-in,false,Onsite,"<table role=""presentation"" class=""wpsl-opening-hours""><tr><td>Monday</td><td><time>9:00 AM - 8:00 PM</time></td></tr><tr><td>Tuesday</td><td><time>9:00 AM - 8:00 PM</time></td></tr><tr><td>Wednesday</td><td><time>9:00 AM - 8:00 PM</time></td></tr><tr><td>Thursday</td><td><time>9:00 AM - 8:00 PM</time></td></tr><tr><td>Friday</td><td><time>9:00 AM - 8:00 PM</time></td></tr><tr><td>Saturday</td><td><time>9:00 AM - 2:00 PM</time></td></tr><tr><td>Sunday</td><td><time>9:00 AM - 2:00 PM</time></td></tr></table>"
mypreplocator,874,Klinik Perubatan Carewell,"No. 2-0-12, Menara KLH, Sentul,",51200 Off Jalan Ipoh,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur (Federal Territory),51200,Malaysia,3.177331,101.685872,+6016-900 4803,,carewellenlivenhealth@gmail.com,http://klinikcarewell.com/,true,true,Walk-in,false,Onsite,"<table role=""presentation"" class=""wpsl-opening-hours""><tr><td>Monday</td><td><time>8:00 AM - 9:00 PM</time></td></tr><tr><td>Tuesday</td><td><time>8:00 AM - 9:00 PM</time></td></tr><tr><td>Wednesday</td><td><time>8:00 AM - 9:00 PM</time></td></tr><tr><td>Thursday</td><td><time>8:00 AM - 9:00 PM</time></td></tr><tr><td>Friday</td><td><time>8:00 AM - 9:00 PM</time></td></tr><tr><td>Saturday</td><td><time>9:00 AM - 1:00 PM</time></td></tr><tr><td>Sunday</td><td>Closed</td></tr></table>"
mypreplocator,576,Medic Clinic,"Unit No. 1-8, Level 1, Plaza Menjalara","No.1, Jalan Menjalara Idaman, Bandar Menjalara",Kepong,Kuala Lumpur (Federal Territory),52200,Malaysia,3.193707,101.629615,+6018-211 5339,,medic.clinic18@gmail.com,http://medicclinic.com.my,true,true,Walk-in,false,Onsite,"<table role=""presentation"" class=""wpsl-opening-hours""><tr><td>Monday</td><td><time>8:30 AM - 10:00 PM</time></td></tr><tr><td>Tuesday</td><td><time>8:30 AM - 10:00 PM</time></td></tr><tr><td>Wednesday</td><td><time>8:30 AM - 10:00 PM</time></td></tr><tr><td>Thursday</td><td><time>8:30 AM - 10:00 PM</time></td></tr><tr><td>Friday</td><td><time>8:30 AM - 10:00 PM</time></td></tr><tr><td>Saturday</td><td><time>8:30 AM - 10:00 PM</time></td></tr><tr><td>Sunday</td><td><time>8:30 AM - 1:00 PM</time></td></tr></table>"
mypreplocator,1371,Poliklinik Medan Putra,"51G, Jalan Medan Putra 1",Medan Putra Business Centre,Kuala Lumpur,Kuala Lumpur (Federal Territory),52200,Malaysia,3.191959,101.625697,,,poliklinikmedanputra001@gmail.com,,true,false,Walk-in,false,Onsite,"<table role=""presentation"" class=""wpsl-opening-hours""><tr><td>Monday</td><td><time>8:00 AM - 11:00 PM</time></td></tr><tr><td>Tuesday</td><td><time>8:00 AM - 11:00 PM</time></td></tr><tr><td>Wednesday</td><td><time>8:00 AM - 11:00 PM</time></td></tr><tr><td>Thursday</td><td><time>8:00 AM - 11:00 PM</time></td></tr><tr><td>Friday</td><td><time>8:00 AM - 11:00 PM</time></td></tr><tr><td>Saturday</td><td><time>8:00 AM - 11:00 PM</time></td></tr><tr><td>Sunday</td><td><time>8:00 AM - 11:00 PM</time></td></tr></table>"
