name,state,Full Address,lat,lng,phone,email,providesPrep,providesPep,freeSTIscreening
Klinik Kesihatan Temerloh (MyPrEPGov2023),Pahang,Jalan Triang  28000 Temerloh Pahang,3.437832,102.460987,+609-296 1275,,TRUE,FALSE,TRUE
Klinik & Surgeri Medi-Sihat,Selangor,"Lot 3&4 (Ground Floor) Jalan Besar, Ulu Yam Bharu  44300 Ulu Yam Bharu Selangor",3.367476,101.605544,+017-573 7303,medisihatmy@gmail.com,TRUE,TRUE,FALSE
O2 Klinik Ipoh Garden,Perak,Lot 13 Jalan Niaga Simee 1 Pusat Perniagaan Simee 31400 Ipoh Perak,4.618418,101.116305,+6016-937 3345,o2klinikipohgarden@gmail.com,TRUE,TRUE,FALSE
Klinik Shatin,Perak,"79, Jalan Pengkalan Barat, Off Jalan New Pasir Puteh, 31650 Ipoh Perak",4.5563,101.07522,+605-321 6922 ,klinikshatin@gmail.com,TRUE,TRUE,TRUE
People's Klinik,Perak,"19, Jalan Yang Kalsom  30250 Ipoh, Malaysia Perak",4.591712,101.084258,+605-255 2906,phangch48@hotmail.com,TRUE,TRUE,FALSE
Klinik Kesihatan Greentown (MyPrEPGov2023),Perak,Jalan Raja Musa Aziz  30450 Ipoh Perak,4.602814,101.087131,+605-253 0801,,TRUE,FALSE,TRUE
KLINIK SINAR CERIA CAWANGAN SELAYANG,Selangor,"17A, Jalan Besar Selayang Baru Selayang Baru 68100 Batu Caves Selangor",3.245467,101.669617,+603-6128 0611,ksc.selayang@gmail.com,TRUE,FALSE,TRUE
Klinik Dr.Prevents 24 JAM,W.P. Kuala Lumpur,A-2-8 Viva Jalan Ipoh 51200 Kuala Lumpur W.P. Kuala Lumpur,3.214851,101.747329,,klinikdrpreventsji@gmail.com,TRUE,TRUE,FALSE
Klinik Afya,W.P. Kuala Lumpur,"303, Lorong Selangor Taman Melawati 53100 Kuala Lumpur W.P. Kuala Lumpur",3.210365,101.747586,+6011 28129399,klinikafyamelawati@gmail.com,TRUE,TRUE,FALSE
U.n.i Klinik Permata,W.P. Kuala Lumpur,"UNIklinik Taman Permata No.3, Persiaran Permata, 53300 Ampang Jaya W.P. Kuala Lumpur",3.206214,101.751982,+603-4161 3330,unikliniktmnpermata@gmail.com,TRUE,TRUE,FALSE
Klinik Low,W.P. Kuala Lumpur,"20, Jalan 1/27b Desa Setapak 53300 Kuala Lumpur W.P. Kuala Lumpur",3.206336,101.734097,+603-4149 7801,kliniklow601@gmail.com,TRUE,FALSE,FALSE
MyGombak Clinic,W.P. Kuala Lumpur,"No. 60, Jalan Jernai 4, Medan Idaman Gombak 53100 KL W.P. Kuala Lumpur",3.212029,101.711195,,mygombakclinic@gmail.com,TRUE,TRUE,FALSE
Klinik Kwan and Chong,W.P. Kuala Lumpur,"100G, Jalan Rimbunan Raya Laman Rimbunan, 52100 Kuala Lumpur W.P. Kuala Lumpur",3.212203,101.648872,+6017-993 0023,klinikkwanchong8kepong@gmail.com,TRUE,TRUE,FALSE
Community Health Care Clinic,W.P. Kuala Lumpur,"2, Level 1, Jalan Haji Salleh, Sentul, 51100 Kuala Lumpur W.P. Kuala Lumpur",3.198344,101.686905,+603-4051 3611,ramesh@ptfmalaysia.org,TRUE,TRUE,TRUE
Klinik Dr Lau,Selangor,"1-17A, Jalan Desa D 1/5 Desa Aman Puri 52100 Kepong Selangor",3.212179,101.616102,+6019-426 1899,klinikdrlauamanpuri@gmail.com,TRUE,TRUE,FALSE
Klinik Kok Doh,W.P. Kuala Lumpur,"No. 38, Jalan 17/42 Taman Kok Doh 51200 Kuala Lumpur, Malaysia W.P. Kuala Lumpur",3.195211,101.665067,,klinikkokdoh@gmail.com,TRUE,TRUE,TRUE
Hospital Sungai Buloh,Selangor,Infectious Disease Clinic Jalan Hospital  47000 Sungai Buloh Selangor,3.219573,101.583081,+603-6145 4333,,TRUE,TRUE,TRUE
Klinik Kesihatan Kuala Lumpur (MyPrEPGov2023),W.P. Kuala Lumpur,"Jalan Temerloh, Taman Tasik Titiwangsa  53200 Kuala Lumpur W.P. Kuala Lumpur",3.17359,101.708291,+603-2618 3200,kkkl@moh.gov.my,TRUE,FALSE,TRUE
A Plus Medical Clinic (Segambut),W.P. Kuala Lumpur,"Lot 1-02A , 1st Floor ,Rain Tree Rain @The Era Duta North Era Segambut, No 208 ,Jalan Segambut 51200 Kuala Lumpur W.P. Kuala Lumpur",3.182261,101.67502,,aone.medclinic@gmail.com,TRUE,TRUE,FALSE
Klinik Perubatan Carewell,W.P. Kuala Lumpur,"No. 2-0-12, Menara KLH, Sentul, 51200 Off Jalan Ipoh 51200 Wilayah Persekutuan Kuala Lumpur W.P. Kuala Lumpur",3.177331,101.685872,+6016-900 4803,carewellenlivenhealth@gmail.com,TRUE,TRUE,FALSE
Medic Clinic,W.P. Kuala Lumpur,"Unit No. 1-8, Level 1, Plaza Menjalara No.1, Jalan Menjalara Idaman, Bandar Menjalara 52200 Kepong W.P. Kuala Lumpur",3.193707,101.629615,+6018-211 5339,medic.clinic18@gmail.com,TRUE,TRUE,FALSE
Poliklinik Medan Putra,W.P. Kuala Lumpur,"51G, Jalan Medan Putra 1 Medan Putra Business Centre 52200 Kuala Lumpur W.P. Kuala Lumpur",3.191959,101.625697,,poliklinikmedanputra001@gmail.com,TRUE,FALSE,FALSE
Qualitas Health - Radix Clinic,W.P. Kuala Lumpur,"F-1-12, Plaza Arkadia, No. 3, Jalan Intisari Perdana, Desa Parkcity 52200 Kuala Lumpur. W.P. Kuala Lumpur",3.186245,101.635986,,radixclinic@outlook.com,TRUE,TRUE,FALSE
Premier Clinic Mont Kiara,W.P. Kuala Lumpur,"No.10, Jalan Solaris 4 Solaris Mont Kiara 50480 Kuala Lumpur W.P. Kuala Lumpur",3.175758,101.659363,+6012-326 3563,dr.foo@premier-clinic.com,TRUE,TRUE,FALSE
Universal Clinic,W.P. Kuala Lumpur,"Great Eastern Mall, Lot 3A, Level 4 Jalan Ampang 50450 Ampang W.P. Kuala Lumpur",3.159033,101.714752,+603-4265 4744,admin@universalclinic.com.my,TRUE,TRUE,FALSE
Perdana Medical Clinic,W.P. Kuala Lumpur,"No 1C3, Ground Floor, North Block, Wisma Golden Eagle Realty, 142 D, Jalan Ampang,  50450 Kuala Lumpur W.P. Kuala Lumpur",3.159293,101.709168,017-3843808,gnanaguru66@gmail.com,TRUE,TRUE,FALSE
Klinik Kesihatan Ampang (MyPrEPGov2023),Selangor,"3, Jalan Ampang Mewah, Pekan Ampang,  68000 Ampang Selangor",3.145141,101.76133,+603-4292 3332,bilik32kkampang@gmail.com,TRUE,FALSE,TRUE
Klinik Chong (Medicruz),W.P. Kuala Lumpur,55059 2nd Floor Bangunan Eng Choon Jalan Ampang 50450 Kuala Lumpur W.P. Kuala Lumpur,3.151592,101.698109,+6012-747 7759,medicruzhealth@gmail.com,TRUE,TRUE,FALSE
The Alpha Clinic,W.P. Kuala Lumpur,"Unit B-G-10, Gateway Corporate Suites, Gateway Kiaramas No.1 Jalan Desa Kiara, Mont Kiara 50480 Kuala Lumpur W.P. Kuala Lumpur",3.165841,101.645881,+6011-6244 6023,info@thealphaclinic.com.my,TRUE,TRUE,FALSE
Pulse Clinic Kuala Lumpur,W.P. Kuala Lumpur,61A (First Floor) Jalan Sultan Ismail Bukit Bintang 50250 Kuala Lumpur W.P. Kuala Lumpur,3.146986,101.710963,+603-2110 2122 ,info.kl@pulse-clinic.com,TRUE,TRUE,FALSE
Klinik Careclinics (Bukit Bintang),W.P. Kuala Lumpur,88A Jalan Alor  50200 Bukit Bintang W.P. Kuala Lumpur,3.146294,101.709163,,mucbukitbintang@careclinics.com.my,TRUE,TRUE,FALSE
Klinik Primary Care 4U,W.P. Kuala Lumpur,"No 60,Ground Floor, Jalan Hang Kasturi  50050 Kuala Lumpur W.P. Kuala Lumpur",3.14469,101.695766,,gpkpc4u@gmail.com,TRUE,TRUE,FALSE
Klinik Unimed Plaza Damansara,W.P. Kuala Lumpur,"PL-01, Plaza Damansara Block A 45, Medan Setia 1, Bukit Damansara 50490 Kuala Lumpur W.P. Kuala Lumpur",3.149893,101.653871,,drjackwong@yahoo.com,TRUE,FALSE,FALSE
Klinik Mediviron Maluri,W.P. Kuala Lumpur,228 Jalan Mahkota Taman Maluri 56100 Kuala Lumpur W.P. Kuala Lumpur,3.128731,101.732614,+03-9201 0515,medivironmaluri@gmail.com,TRUE,TRUE,FALSE
Klinik Hisential Bangsar,W.P. Kuala Lumpur,"Lot S122, 2nd Floor, Bangsar Shopping Centre, 285, Jalan Maarof, Bukit Bandaraya 5900 Bangsar W.P. Kuala Lumpur",3.14284,101.667517,+6011-3667 7967,bangsarclinic@hisential.com,TRUE,TRUE,FALSE
U.n.i Klinik TTDI,W.P. Kuala Lumpur,"10, Jalan Tun Mohd Fuad 1 Taman Tun Dr Ismail 60000 Kuala Lumpur W.P. Kuala Lumpur",3.142038,101.629079,+603-7732 8664,u.n.iklinikttdi@gmail.com,TRUE,TRUE,FALSE
Klinik Plaza Bukit Bintang,W.P. Kuala Lumpur,"56B, 2nd Floor Jalan Bukit Bintang 55100 Kuala Lumpur W.P. Kuala Lumpur",3.14173,101.627213,+6019-757 5579,clinicbukitbintang@gmail.com,TRUE,TRUE,FALSE
Klinik Taman Tun Dr Ismail,W.P. Kuala Lumpur,"38, Jalan Tun Mohd Fuad  60000 Taman Tun Dr Ismail W.P. Kuala Lumpur",3.140109,101.629312,+603-7729 4096,klinikttdi38@gmail.com,TRUE,FALSE,FALSE
KLINIK MEDILOVE KOTA DAMANSARA,Selangor,"11-1 (Ground Floor), Jalan PJU 5/10, Dataran Sunway  47810 Petaling Jaya Selangor",3.151301,101.592901,+6016 2299233,medilovekd@gmail.com,TRUE,TRUE,FALSE
Poliklinik My Clinic (TGM),Selangor,"Ashlo Medical Services Sdn Bhd, Tropicana Gardens Mall (TGM)T Lot LG-01&02, Lower Ground Floor, No 2A Persiaran Surian Tropicana Indah 47810 Petaling Jaya Selangor",3.148962,101.593413,+603-7629 5911,myclinic.tgm0102@gmail.com,TRUE,TRUE,FALSE
KLINIK MEDILOVE DAMANSARA UPTOWN,Selangor,"No 12 (Ground Floor), Jalan SS21/39 Damansara Utama 47400 Petaling Jaya Selangor",3.136672,101.621429,+6011-5656 8863,mediloveuptown@gmail.com,TRUE,FALSE,FALSE
