id (serial),statement (text),is_true (boolean),explanation,category 
,You can't get an STI the first time you have sex.,FALSE,You can get an STI any time you have sex with someone who has an STI.,category 
,You can't get an STI from oral sex.,FALSE,"Oral sex can transmit several STIs (e.g., herpes, chlamydia, gonorrhea, syphilis, HPV). Use condoms/dental dams.",Myth
,Using a male condom and a female condom together gives you double protection.,FALSE,Don't use male and female condoms together—friction increases the chance of breakage.,Myth
,Douching can help protect you from HIV.,FALSE,Douching can actually increase HIV risk by disrupting protective vaginal flora.,Myth
,You'll know if you have an STI because you'll have symptoms.,FALSE,Many STIs have no symptoms. Testing is needed to know for sure.,Myth
,Only teenagers get STIs.,FALSE,STIs can affect people of any age; diagnoses have risen among older adults too.,Myth
,You can get an STI if you have multiple partners.,TRUE,Having multiple partners increases your risk of STIs (though even one encounter can transmit).,Fact
,"If I'm pregnant with an STI, it won't affect my fetus.",FALSE,"Some STIs can be passed to the baby during pregnancy, delivery, or breastfeeding; early treatment helps prevent this.",Myth
,Men and women have the same symptoms for STIs.,FALSE,Symptoms vary by infection and person; some infections are asymptomatic or present differently in different people.,Myth
,All STIs can be cured.,FALSE,Symptoms vary by infection and person; some infections are asymptomatic or present differently in different people.,Myth
,STIs do not cause infertility.,FALSE,Untreated STIs like chlamydia can cause PID and infertility.,Myth
,Cold sores are an STI.,FALSE,"Cold sores are usually HSV‑1 and often acquired non‑sexually in childhood, but they can be sexually transmitted via oral sex.",Myth
,You can get an STI from a toilet seat.,FALSE,"STIs are not transmitted via toilet seats, food, utensils, or handshakes.",Myth
,Oral sex is safe sex.,FALSE,Oral sex still carries STI risk; use condoms/dental dams.,Myth
,You can always tell if someone has an STI.,FALSE,You can't tell by looking—many STIs have no visible signs.,Myth
,Only gay men get HIV.,FALSE,"HIV can affect anyone regardless of sexual orientation; risk depends on behaviors, not identity.",Myth
,Pulling out before ejaculation is safe against STIs.,FALSE,Withdrawal doesn't protect against STIs; pre‑ejaculate and skin‑to‑skin contact can transmit infections.,Myth
