id (serial),statement (text),is_true (boolean),explanation,category 
,Anda tidak akan mendapat STI pada kali pertama melakukan hubungan seks.,FALSE,Anda boleh mendapat STI pada bila-bila masa apabila berhubungan seks dengan seseorang yang menghidap STI.,Mitos
,Anda tidak boleh mendapat STI melalui seks oral.,FALSE,"Seks oral boleh menularkan beberapa STI (contohnya herpes, klamidia, gonorea, sifilis, HPV); gunakan kondom atau dental dam.",Mitos
,Menggunakan kondom lelaki dan wanita serentak memberi perlindungan berganda.,FALSE,Jangan gunakan kondom lelaki dan wanita serentak; geseran meningkatkan risiko koyak.,Mitos
,Douching boleh membantu melindungi anda daripada HIV.,FALSE,Douching sebenarnya mengganggu flora perlindungan faraj dan meningkatkan risiko HIV.,Mitos
,Anda akan tahu jika anda menghidap STI kerana anda pasti mempunyai gejala.,FALSE,Banyak STI tidak bergejala; ujian sahaja boleh memberikan kepastian.,Mitos
,Hanya remaja mendapat STI.,FALSE,STI boleh menjejaskan semua peringkat umur; diagnosis turut meningkat dalam kalangan warga emas.,Mitos
,Anda akan mendapat STI jika mempunyai ramai pasangan.,TRUE,Mempunyai ramai pasangan meningkatkan risiko STI walaupun satu pertemuan pun boleh menularkan.,Fakta
,"Jika saya hamil dengan STI, ia tidak akan menjejaskan janin.",FALSE,"Sesetengah STI boleh menular kepada bayi semasa kehamilan, kelahiran atau penyusuan; rawatan awal membantu mencegahnya.",Mitos
,Lelaki dan wanita mempunyai gejala STI yang sama.,FALSE,Gejala berbeza mengikut jenis jangkitan dan individu; sesetengah jangkitan tidak bergejala atau kelihatan berbeza pada setiap orang.,Mitos
,Semua STI boleh disembuhkan.,FALSE,Gejala berbeza mengikut jenis jangkitan dan individu; sesetengah jangkitan tidak bergejala atau kelihatan berbeza pada setiap orang.,Mitos
,STI tidak menyebabkan kemandulan.,FALSE,STI yang tidak dirawat seperti klamidia boleh menyebabkan PID dan kemandulan.,Mitos
,Luka sejuk ialah STI.,FALSE,"Luka sejuk biasanya disebabkan HSV‑1 dan sering dijangkiti sejak kecil tanpa hubungan seksual, tetapi masih boleh menular melalui seks oral.",Mitos
,Anda boleh mendapat STI daripada tempat duduk tandas.,FALSE,"STI tidak menular melalui tempat duduk tandas, makanan, peralatan makan atau berjabat tangan.",Mitos
,Seks oral ialah seks yang selamat.,FALSE,Seks oral masih membawa risiko STI; gunakan kondom atau dental dam.,Mitos
,Anda sentiasa boleh tahu jika seseorang menghidap STI.,FALSE,Anda tidak boleh menilai hanya dengan melihat kerana banyak STI tidak menunjukkan tanda yang jelas.,Mitos
