id (serial),statement (text),is_true (boolean),explanation,category 
,第一次性行为不会感染性病。,FALSE,只要与带有性病的人发生性行为，随时都可能被传染。,谣言
,口交不会感染性病。,FALSE,口交会传播多种性病（如疱疹、衣原体、淋病、梅毒、HPV），请使用安全套或口交膜。,谣言
,男用和女用安全套一起用能双重保护。,FALSE,不要同时使用男用和女用安全套，摩擦会增加破裂风险。,谣言
,阴道冲洗能帮助预防 HIV。,FALSE,阴道冲洗会破坏保护性的阴道菌群，反而提高 HIV 风险。,谣言
,感染性病就会出现症状，所以你会知道。,FALSE,很多性病没有症状，只有检测才能确认。,谣言
,只有青少年才会得性病。,FALSE,性病会影响任何年龄的人，老年人的确诊率也在上升。,谣言
,有多个性伴侣就一定会得性病。,TRUE,拥有多个性伴侣会增加性病风险（即便一次接触也能传播）。,事实
,怀孕时感染性病也不会影响胎儿。,FALSE,部分性病可在孕期、分娩或哺乳时传给宝宝，及早治疗能降低风险。,谣言
,男女患性病时的症状完全一样。,FALSE,症状因感染类型和个人体质而异，有些感染没有症状，或在不同人身上表现不同。,谣言
,所有性病都可以治愈。,FALSE,症状因感染类型和个人体质而异，有些感染没有症状，或在不同人身上表现不同。,谣言
,性病不会导致不孕不育。,FALSE,像衣原体这样的未治疗性病可能导致盆腔炎和不孕不育。,谣言
,唇疱疹就是一种性病。,FALSE,唇疱疹通常由 HSV‑1 引起，多在童年非性途径感染，但仍可能通过口交传播。,谣言
,坐马桶会感染性病。,FALSE,性病不会通过马桶座、食物、餐具或握手传播。,谣言
,口交就是安全性行为。,FALSE,口交仍有性病风险，请使用安全套或口交膜。,谣言
,你总能看出别人是否感染性病。,FALSE,光看外表辨不出来，很多性病没有明显迹象。,谣言
,只有男同性恋才会感染 HIV。,FALSE,HIV 会影响任何人，与性取向无关；风险取决于行为而非身份。,谣言
,射精前体外排精就能防性病。,FALSE,体外射精不能预防性病，射前液和皮肤接触仍会传播感染。,谣言
,HIV 可以通过任何体液传播。,FALSE,HIV 只会通过特定体液（血液、精液、直肠/阴道分泌物、母乳）传播，日常接触中的汗液、唾液或尿液不会传播。,谣言
,正确使用安全套能高效预防大多数性病。,TRUE,正确且持续使用安全套对许多性病非常有效，但仍非百分之百，对皮肤接触传播的疾病防护较弱。,事实
,对有性行为的人来说，定期做性病检测很重要。,TRUE,定期检测（如每 6–12 个月一次或更换伴侣时）有助于发现无症状感染。,事实
,有些性病会通过皮肤接触传播。,TRUE,像疱疹和 HPV 这样的性病会通过亲密的皮肤接触传播。,事实
,某些年龄层的性病更常见。,TRUE,在许多地方，青少年和年轻成人的感染率更高。,事实
,患有性病会提高感染 HIV 的风险。,TRUE,性病会提高感染或传播 HIV 的风险，检测和治疗能降低风险。,事实
,孕妇应该接受性病检测。,TRUE,孕期筛查和治疗性病有助于保护宝宝免受感染。,事实
,有些性病可能导致癌症。,TRUE,HPV 可能导致宫颈癌、肛门癌以及部分头颈部癌症。,事实
,有些性病可以通过疫苗预防。,TRUE,乙肝和 HPV 都有疫苗可用。,事实
,治好后仍会再次感染同一种性病。,TRUE,治疗后若再次接触感染源，仍可能再次感染同一种性病。,事实
,性病只会影响生殖器官。,FALSE,性病不仅影响生殖器，还会波及口腔、咽喉、直肠、皮肤等系统。,谣言
,口服避孕药能够预防性病。,FALSE,激素避孕法不能预防性病，仍需使用安全套来预防。,谣言
,HIV 可以用自然疗法治愈。,FALSE,HIV 目前没有根治方式，有效治疗只能抑制病毒，无法彻底清除。,谣言
,只要性伴侣不多，就不用做检测。,FALSE,一次性行为就可能传播性病，性伴侣数量只会改变风险水平。,谣言
,性病容易治疗和治愈，所以我不必理会。,FALSE,一些性病可以控制或治愈，但其他疾病（如 HIV、疱疹）是终身性的，而且还存在耐药菌株。,谣言
,同一种性病只会得一次。,FALSE,再次接触感染源时，同一种性病可能反复感染。,谣言
,我和伴侣是一夫一妻制，所以没必要检测。,FALSE,即使在新的单一伴侣关系中，以前的感染仍可能存在，因此开始交往时双方都应检测。,谣言
,梅毒只是过去的疾病，现在已经没人会得。,FALSE,梅毒仍然存在，近些年诊断病例反而增多。,谣言
,性病检测非常疼痛。,FALSE,大多数性病检测只需提供尿液或血液；有症状时可能需要拭子，通常只有轻微不适。,谣言
