date,state,disease,cases,incidence
2017,Malaysia,aids,1289,3.98
2018,Malaysia,aids,919,2.8
2019,Malaysia,aids,1122,3.44
2020,Malaysia,aids,1038,3.19
2021,Malaysia,aids,878,2.69
2022,Malaysia,aids,1211,3.71
2017,Malaysia,chancroid,3,0.01
2018,Malaysia,chancroid,4,0.01
2019,Malaysia,chancroid,2,0.01
2020,Malaysia,chancroid,3,0.01
2021,Malaysia,chancroid,1,0
2022,Malaysia,chancroid,0,0
2017,Malaysia,gonorrhea,3364,10.39
2018,Malaysia,gonorrhea,3130,9.52
2019,Malaysia,gonorrhea,3013,9.25
2020,Malaysia,gonorrhea,2339,7.18
2021,Malaysia,gonorrhea,1461,4.47
2022,Malaysia,gonorrhea,1819,5.57
2017,Malaysia,hiv,3347,10.33
2018,Malaysia,hiv,3293,10.02
2019,Malaysia,hiv,3564,10.94
2020,Malaysia,hiv,3146,9.66
2021,Malaysia,hiv,2760,8.45
2022,Malaysia,hiv,3177,9.73
2017,Malaysia,syphillis,2591,8
2018,Malaysia,syphillis,3077,9.36
2019,Malaysia,syphillis,3504,10.75
2020,Malaysia,syphillis,3462,10.63
2021,Malaysia,syphillis,3461,10.6
2022,Malaysia,syphillis,4669,14.3
2017,Johor,aids,178,4.72
2018,Johor,aids,114,2.98
2019,Johor,aids,111,2.95
2020,Johor,aids,210,5.58
2021,Johor,aids,190,5.01
2022,Johor,aids,271,6.74
2017,Johor,chancroid,1,0.03
2018,Johor,chancroid,0,0
2019,Johor,chancroid,0,0
2020,Johor,chancroid,0,0
2021,Johor,chancroid,0,0
2022,Johor,chancroid,0,0
2017,Johor,gonorrhea,404,10.72
2018,Johor,gonorrhea,339,8.87
2019,Johor,gonorrhea,311,8.26
2020,Johor,gonorrhea,296,7.86
2021,Johor,gonorrhea,268,7.06
2022,Johor,gonorrhea,149,3.7
2017,Johor,hiv,347,9.2
2018,Johor,hiv,310,8.11
2019,Johor,hiv,338,8.98
2020,Johor,hiv,223,5.92
2021,Johor,hiv,165,4.35
2022,Johor,hiv,219,5.44
2017,Johor,syphillis,295,7.82
2018,Johor,syphillis,311,8.14
2019,Johor,syphillis,345,9.17
2020,Johor,syphillis,345,9.17
2021,Johor,syphillis,392,10.33
2022,Johor,syphillis,484,12.03
2017,Kedah,aids,40,1.84
2018,Kedah,aids,43,1.95
2019,Kedah,aids,54,2.48
2020,Kedah,aids,48,2.2
2021,Kedah,aids,35,1.6
2022,Kedah,aids,58,2.67
2017,Kedah,chancroid,0,0
2018,Kedah,chancroid,0,0
2019,Kedah,chancroid,0,0
2020,Kedah,chancroid,0,0
2021,Kedah,chancroid,0,0
2022,Kedah,chancroid,0,0
2017,Kedah,gonorrhea,118,5.42
2018,Kedah,gonorrhea,134,6.07
2019,Kedah,gonorrhea,129,5.92
2020,Kedah,gonorrhea,101,4.63
2021,Kedah,gonorrhea,36,1.64
2022,Kedah,gonorrhea,77,3.55
2017,Kedah,hiv,187,8.6
2018,Kedah,hiv,186,8.43
2019,Kedah,hiv,177,8.12
2020,Kedah,hiv,146,6.7
2021,Kedah,hiv,118,5.38
2022,Kedah,hiv,110,5.07
2017,Kedah,syphillis,83,3.82
2018,Kedah,syphillis,109,4.94
2019,Kedah,syphillis,114,5.23
2020,Kedah,syphillis,153,7.02
2021,Kedah,syphillis,80,3.65
2022,Kedah,syphillis,185,8.52
2017,Kelantan,aids,144,7.8
2018,Kelantan,aids,49,2.6
2019,Kelantan,aids,80,4.24
2020,Kelantan,aids,48,2.55
2021,Kelantan,aids,27,1.4
2022,Kelantan,aids,47,2.57
2017,Kelantan,chancroid,0,0
2018,Kelantan,chancroid,0,0
2019,Kelantan,chancroid,0,0
2020,Kelantan,chancroid,0,0
2021,Kelantan,chancroid,0,0
2022,Kelantan,chancroid,0,0
2017,Kelantan,gonorrhea,69,3.74
2018,Kelantan,gonorrhea,89,4.72
2019,Kelantan,gonorrhea,74,3.92
2020,Kelantan,gonorrhea,49,2.6
2021,Kelantan,gonorrhea,28,1.45
2022,Kelantan,gonorrhea,47,2.57
2017,Kelantan,hiv,136,7.36
2018,Kelantan,hiv,99,5.25
2019,Kelantan,hiv,107,5.67
2020,Kelantan,hiv,90,4.77
2021,Kelantan,hiv,82,4.25
2022,Kelantan,hiv,118,6.45
2017,Kelantan,syphillis,113,6.12
2018,Kelantan,syphillis,126,6.69
2019,Kelantan,syphillis,132,7
2020,Kelantan,syphillis,74,3.92
2021,Kelantan,syphillis,70,3.63
2022,Kelantan,syphillis,95,5.19
2017,Melaka,aids,112,12.15
2018,Melaka,aids,100,10.7
2019,Melaka,aids,71,7.63
2020,Melaka,aids,66,7.09
2021,Melaka,aids,59,6.29
2022,Melaka,aids,73,7.24
2017,Melaka,chancroid,0,0
2018,Melaka,chancroid,0,0
2019,Melaka,chancroid,0,0
2020,Melaka,chancroid,1,0.11
2021,Melaka,chancroid,0,0
2022,Melaka,chancroid,0,0
2017,Melaka,gonorrhea,107,11.61
2018,Melaka,gonorrhea,101,10.81
2019,Melaka,gonorrhea,115,12.36
2020,Melaka,gonorrhea,105,11.28
2021,Melaka,gonorrhea,47,5.01
2022,Melaka,gonorrhea,72,7.14
2017,Melaka,hiv,113,12.26
2018,Melaka,hiv,78,8.35
2019,Melaka,hiv,114,12.25
2020,Melaka,hiv,70,7.52
2021,Melaka,hiv,87,9.28
2022,Melaka,hiv,74,7.34
2017,Melaka,syphillis,73,7.92
2018,Melaka,syphillis,103,11.02
2019,Melaka,syphillis,152,16.33
2020,Melaka,syphillis,136,14.61
2021,Melaka,syphillis,168,17.92
2022,Melaka,syphillis,216,21.43
2017,Negeri Sembilan,aids,29,2.57
2018,Negeri Sembilan,aids,23,2.02
2019,Negeri Sembilan,aids,31,2.74
2020,Negeri Sembilan,aids,21,1.86
2021,Negeri Sembilan,aids,22,1.95
2022,Negeri Sembilan,aids,23,1.9
2017,Negeri Sembilan,chancroid,0,0
2018,Negeri Sembilan,chancroid,0,0
2019,Negeri Sembilan,chancroid,0,0
2020,Negeri Sembilan,chancroid,0,0
2021,Negeri Sembilan,chancroid,0,0
2022,Negeri Sembilan,chancroid,0,0
2017,Negeri Sembilan,gonorrhea,118,10.45
2018,Negeri Sembilan,gonorrhea,89,7.8
2019,Negeri Sembilan,gonorrhea,74,6.55
2020,Negeri Sembilan,gonorrhea,48,4.25
2021,Negeri Sembilan,gonorrhea,33,2.92
2022,Negeri Sembilan,gonorrhea,40,3.31
2017,Negeri Sembilan,hiv,112,9.92
2018,Negeri Sembilan,hiv,133,11.66
2019,Negeri Sembilan,hiv,126,11.15
2020,Negeri Sembilan,hiv,113,10
2021,Negeri Sembilan,hiv,94,8.33
2022,Negeri Sembilan,hiv,95,7.86
2017,Negeri Sembilan,syphillis,62,5.49
2018,Negeri Sembilan,syphillis,83,7.27
2019,Negeri Sembilan,syphillis,98,8.67
2020,Negeri Sembilan,syphillis,85,7.52
2021,Negeri Sembilan,syphillis,115,10.19
2022,Negeri Sembilan,syphillis,113,9.35
2017,Pahang,aids,104,6.19
2018,Pahang,aids,37,2.17
2019,Pahang,aids,64,3.82
2020,Pahang,aids,42,2.51
2021,Pahang,aids,46,2.73
2022,Pahang,aids,27,1.67
2017,Pahang,chancroid,0,0
2018,Pahang,chancroid,0,0
2019,Pahang,chancroid,0,0
2020,Pahang,chancroid,1,0.06
2021,Pahang,chancroid,0,0
2022,Pahang,chancroid,0,0
2017,Pahang,gonorrhea,141,8.4
2018,Pahang,gonorrhea,135,7.93
